dataset,source_file,position,column,role,unit,time_safety,description,formula,dtype,non_null,null_pct,distinct,min,max,example,pitfall
processed,data/processed/transactions_enriched.csv,1,transaction_id,identifier,-,raw,Unique identifier of the transaction.,source file,int64,3199,0.0,3199,21320398.0,21323596.0,21323596,"Looks sequential and correlates with time; it is an identifier, never a feature."
processed,data/processed/transactions_enriched.csv,2,merchant_id,identifier,-,raw,Merchant that received the payment.,source file,int64,3199,0.0,1756,16.0,99799.0,17348,70.7% of merchants appear once. Any per-merchant rate needs a minimum volume filter.
processed,data/processed/transactions_enriched.csv,3,user_id,identifier,-,raw,Cardholder placing the transaction.,source file,int64,3199,0.0,2704,6.0,99974.0,8,"Behaves like a merchant-side customer id (only 0.9% of users appear at more than one merchant) and is created by the customer at sign-up, so it is attacker-controlled."
processed,data/processed/transactions_enriched.csv,4,card_number,identifier,-,raw,Masked card number: first 6 digits (BIN) plus last 4.,source file,str,3199,0.0,2925,,,650487******9884,Pseudo-identifier only — two different cards from the same issuer can collide on the last 4 digits.
processed,data/processed/transactions_enriched.csv,5,transaction_date,attribute,timestamp,raw,"Date and time of the transaction, microsecond precision.",source file,datetime64[us],3199,0.0,3199,2019-11-01 01:27:15.811098,2019-12-01 23:16:32.812632,2019-11-01 01:27:15.811098,No timezone declared; a single timezone is assumed. Sort by this before any time-based feature.
processed,data/processed/transactions_enriched.csv,6,transaction_amount,attribute,currency units,raw,Transaction amount.,source file,float64,3199,0.0,3124,1.22,4097.21,2416.7,"No currency declared (BRL assumed). Strongly right-skewed — use the median, not the mean, to describe it."
processed,data/processed/transactions_enriched.csv,7,device_id,identifier,-,raw,Identifier of the device used in the transaction.,source file,float64,2369,25.95,1996,2.0,999843.0,417645.0,"26% missing. Absence is a category, not dirt — dropping those rows removes a quarter of the base. In this sample each device belongs to a single user."
processed,data/processed/transactions_enriched.csv,8,has_cbk,target,boolean,target,Whether the transaction received a fraud-related chargeback. The fraud label.,source file (TRUE/FALSE strings),bool,3199,0.0,2,12.22% true,,False,"Never use as an input feature. It is a LAGGING label: the dispute arrives days to weeks after the transaction, so recent fraud is still marked FALSE."
processed,data/processed/transactions_enriched.csv,9,hour,derived feature,hour of day (0-23),past-only,Hour of day of the transaction.,transaction_date.dt.hour,int64,3199,0.0,23,0.0,23.0,1,"Describes when the attacker operates, not why. Low-volume hours produce meaningless rates — filter by minimum volume before ranking."
processed,data/processed/transactions_enriched.csv,10,has_device,derived feature,boolean,past-only,Whether a device identifier was captured.,device_id.notna(),bool,3199,0.0,2,74.05% true,,False,"In this base, missing device has a LOWER chargeback rate (8.1% vs 13.7%) — the intuitive rule would have been wrong."
processed,data/processed/transactions_enriched.csv,11,card_bin,derived feature,-,past-only,"Bank Identification Number: first 6 digits of the card, identifying the issuer.",card_number.str[:6],str,3199,0.0,410,,,650487,Keep it as text — parsing to integer destroys leading zeros.
processed,data/processed/transactions_enriched.csv,12,card_last4,derived feature,-,past-only,Last four digits of the card.,card_number.str[-4:],str,3199,0.0,2481,,,9884,Only meaningful combined with the BIN.
processed,data/processed/transactions_enriched.csv,13,user_tx_count,derived feature,count,whole-period,Number of transactions by this user across the entire dataset.,groupby(user_id).transaction_id.transform('size'),int64,3199,0.0,15,1.0,31.0,1,Counts transactions that happen AFTER the current one. Descriptive only — the real-time equivalent is a rolling window of prior transactions.
processed,data/processed/transactions_enriched.csv,14,user_card_count,derived feature,count,whole-period,Distinct cards used by this user across the entire dataset.,groupby(user_id).card_number.transform('nunique'),int64,3199,0.0,11,1.0,31.0,1,Same future leakage; the operational version counts only cards seen before now.
processed,data/processed/transactions_enriched.csv,15,card_user_count,derived feature,count,whole-period,Distinct users that used this card across the entire dataset.,groupby(card_number).user_id.transform('nunique'),int64,3199,0.0,4,1.0,4.0,1,Same future leakage. Also inherits the masked-card collision caveat.
processed,data/processed/transactions_enriched.csv,16,device_user_count,derived feature,count,whole-period,Distinct users that used this device across the entire dataset.,groupby(device_id).user_id.transform('nunique'),float64,2369,25.95,1,1.0,1.0,1.0,Always 1 in this sample — the device-sharing hypothesis could not be tested here.
processed,data/processed/transactions_enriched.csv,17,merchant_tx_count,derived feature,count,whole-period,Number of transactions of this merchant across the entire dataset.,groupby(merchant_id).transaction_id.transform('size'),int64,3199,0.0,21,1.0,73.0,16,Future leakage; use as a volume filter for descriptive rankings only.
