rule,alerts,alert_share,fraud_caught,precision,recall,alerts_per_fraud
R02_repeat_offender,265,0.08283838699593624,238,0.8981132075471698,0.6086956521739131,1.1134453781512605
R04_many_cards_per_user,254,0.07939981244138794,169,0.6653543307086615,0.4322250639386189,1.5029585798816567
R10_high_risk_merchant,201,0.06283213504220068,159,0.7910447761194029,0.40664961636828645,1.2641509433962264
R06_missing_device,830,0.2594560800250078,67,0.08072289156626505,0.17135549872122763,12.388059701492537
R09_night_hours,346,0.10815879962488277,60,0.17341040462427745,0.1534526854219949,5.766666666666667
R01_velocity_same_user,65,0.02031884964051266,32,0.49230769230769234,0.08184143222506395,2.03125
R03_card_shared_by_users,71,0.022194435761175368,24,0.3380281690140845,0.061381074168797956,2.9583333333333335
R07_amount_above_user_profile,12,0.003751172241325414,6,0.5,0.015345268542199489,2.0
R12_merchant_hopping,1,0.00031259768677711783,1,1.0,0.0025575447570332483,1.0
R08_card_testing_pattern,2,0.0006251953735542357,1,0.5,0.0025575447570332483,2.0
R05_device_shared_by_users,0,0.0,0,0.0,0.0,inf
R11_repeated_card_amount,0,0.0,0,0.0,0.0,inf
